Mountain,Height,Region,Latitude,Longitude
Cribyn,795m,Brecon Beacons,51.8817,-3.4210
Bera Mawr,794m,Carneddau,53.1943,-3.9869
Craig Cwm Amarch,791m,Cadair Idris,52.6912,-3.9106
Cadair Bronwen,785m,Berwyn,52.9009,-3.3739
Moel Hebog,783m,Nantlle & Beddgelert,53.0001,-4.1421
Glasgwm,780m,Aran,52.7596,-3.7268
Drum,770m,Carneddau,53.2077,-3.9366
Moelwyn Mawr,770m,Moelwyns,52.9837,-4.0011
Waun Rydd,769m,Brecon Beacons,51.8761,-3.3642
Gallt yr Ogof,763m,Glyderau,53.1074,-3.9664
Fan Hir,761m,Carmarthen Fan,51.8744,-3.7013
Drosgl,758m,Carneddau,53.1913,-4.0032
Y Llethr,756m,Rhinogs,52.8122,-3.9887
Bwlch y Ddwyallt,754m,Brecon Beacons,51.8732,-3.3743
Pumlumon Fawr,752m,Pumlumon,52.4666,-3.7845
Moel Llyfnant,751m,Arenig,52.9001,-3.7740
Diffwys,750m,Rhinogs,52.7915,-3.9878
Picws Du,749m,Carmarthen Fan,51.8820,-3.7292
Yr Aran,747m,Snowdon Massif,53.0425,-4.0844
Tomle,742m,Berwyn,52.8678,-3.3609
Pen Pumlumon Arwystli,741m,Pumlumon,52.4743,-3.7480
Rhobell Fawr,734m,Arenig,52.8142,-3.8032
Craig Cwm Silyn,734m,Nantlle & Beddgelert,53.0287,-4.2017
Fan Fawr,734m,Brecon Beacons,51.8627,-3.4989
Pen Pumlumon Llygad-bychan,727m,Pumlumon,52.4686,-3.7713
Moel Eilio,726m,Snowdon Massif,53.0969,-4.1588
Fan Gyhirych,725m,Carmarthen Fan,51.8583,-3.6281
Rhinog Fawr,720m,Rhinogs,52.8417,-3.9975
Pen Allt-mawr,720m,Black Mountains,51.9116,-3.1558
Fan y Big,719m,Brecon Beacons,51.8756,-3.4019
Rhos Dirion,713m,Black Mountains,51.9925,-3.1506
Rhinog Fach,712m,Rhinogs,52.8239,-3.9848
Moelwyn Bach,710m,Moelwyns,52.9739,-3.9976
Trum y Ddysgl,709m,Nantlle & Beddgelert,53.0418,-4.1740
Black Mountain,703m,Black Mountains,52.0084,-3.0869
Pen Cerrig-calch,701m,Black Mountains,51.8937,-3.1394
Garnedd-goch,700m,Nantlle & Beddgelert,53.0220,-4.2223
Mynydd Mawr,698m,Nantlle & Beddgelert,53.0686,-4.1828
Allt Fawr,698m,Moelwyns,53.0076,-3.9679
Mynydd Drws-y-coed,695m,Nantlle & Beddgelert,53.0437,-4.1681
Foel Wen,691m,Berwyn,52.8896,-3.3408
Twmpa,690m,Black Mountains,52.0080,-3.1335
Foel Hafod-fynydd,689m,Aran,52.7902,-3.6671
Arenig Fach,689m,Arenig,52.9579,-3.7585
Cnicht,689m,Moelwyns,52.9995,-4.0212
Carnedd y Ddelw,688m,Carneddau,53.2158,-3.9384
Pen y Brynfforchog,685m,Aran,52.7457,-3.7544
Gwaun y Llwyni,685m,Aran,52.7682,-3.6959
Y Garn (Pumlumon),684m,Pumlumon,52.4501,-3.8044
Mynydd Tarw,681m,Berwyn,52.8817,-3.3212
Godor,679m,Berwyn,52.8661,-3.3475
Chwarel y Fan,679m,Black Mountains,51.9581,-3.0813
Creigiau Gleision,678m,Carneddau,53.1355,-3.9019
Waun Lefrith,677m,Carmarthen Fan,51.8522,-3.6162
Maesglase,676m,Cadair Idris,52.7197,-3.7533
Moel Druman,676m,Moelwyns,53.0092,-3.9829
Moel Cynghorion,674m,Snowdon Massif,53.0851,-4.1134
Ysgafell Wen,672m,Moelwyns,53.0135,-3.9905
Esgeiriau Gwynion,671m,Aran,52.7985,-3.6496
Waun-oer,670m,Cadair Idris,52.7163,-3.8006
Carnedd y Filiast (Arenig),669m,Arenig,52.9859,-3.6836
Fan Fraith,668m,Carmarthen Fan,51.8522,-3.6162
Gareg Lwyd,698m,Black Mountains,51.9238,-3.3745
